id,year,ethnic,gender,additive,numberID,forwardSequence,backwardSequence,fractions,placeValue,basicFacts,OTJ,Below
372,6,NZEuro,Female,S2,S4,S2,S4,S0,S2,S2,At Standard,0
375,4,NZEuro,Female,S2,S2,S2,S2,S2,S2,S2,Below Standard,1
379,4,Asian,Male,S2,S4,S2,S2,S0,S2,S2,At Standard,0
380,4,NZEuro,Male,S5,S5,S5,S5,S0,S5,S4,Above Standard,0
387,4,Asian,Female,S2,S2,S2,S2,S0,S2,S2,At Standard,0
388,4,NZEuro,Female,S2,S2,S4,S4,S0,S0,S2,At Standard,0
392,5,NZEuro,Male,S2,S4,S2,S2,S2,S2,S2,At Standard,0
393,4,NZEuro,Female,S2,S2,S2,S0,S0,S2,S0,At Standard,0
395,6,Other,Female,S2,S5,S2,S5,S2,S4,S2,At Standard,0
408,4,NZEuro,Male,S2,S2,S4,S4,S2,S2,S2,At Standard,0
412,5,NZEuro,Male,S4,S4,S4,S4,S2,S2,S2,At Standard,0
413,5,NZEuro,Male,S4,S4,S5,S5,S5,S5,S4,At Standard,0
415,4,NZEuro,Female,S4,S4,S4,S4,S5,S4,S4,At Standard,0
420,4,NZEuro,Male,S2,S2,S2,S0,S2,S2,S2,At Standard,0
423,4,NZEuro,Female,S2,S2,S4,S4,S2,S0,S2,At Standard,0
424,5,NZEuro,Female,S4,S5,S4,S4,S0,S2,S4,At Standard,0
425,5,NZEuro,Male,S4,S4,S2,S2,S0,S2,S2,At Standard,0
426,6,NZEuro,Female,S4,S4,S4,S4,S0,S2,S2,At Standard,0
431,6,NZEuro,Female,S5,S5,S5,S5,S2,S4,S5,At Standard,0
433,4,NZEuro,Female,S2,S2,S0,S0,S0,S0,S0,At Standard,0
435,5,NZEuro,Male,S4,S4,S4,S4,S2,S4,S4,At Standard,0
436,6,Other,Female,S2,S5,S2,S4,S2,S2,S2,At Standard,0
443,4,NZEuro,Male,S2,S2,S0,S0,S0,S0,S0,Below Standard,1
444,6,Other,Male,S4,S5,S2,S5,S2,S2,S2,Above Standard,0
447,4,NZEuro,Male,S4,S5,S4,S5,S0,S5,S2,At Standard,0
455,5,NZEuro,Female,S2,S2,S2,S2,S0,S2,S0,At Standard,0
459,5,NZEuro,Female,S4,S4,S4,S4,S4,S2,S4,At Standard,0
472,4,Pasifika,Female,S2,S4,S2,S2,S0,S2,S0,Below Standard,1
475,4,NZEuro,Male,S2,S4,S2,S2,S2,S2,S2,At Standard,0
479,6,NZEuro,Female,S4,S5,S4,S4,S4,S2,S2,Below Standard,1
482,5,Pasifika,Female,S2,S2,S2,S2,S2,S2,S2,At Standard,0
488,4,NZEuro,Male,S2,S4,S2,S2,S0,S2,S0,At Standard,0
